,date,team1,team1_odds,team1_score,team2,team2_odds,team2_score
0,2009-10-10,Phoenix Mercury,-250,94,Indiana Fever,196,86
1,2009-10-08,Indiana Fever,-132,77,Phoenix Mercury,108,90
2,2009-10-04,Indiana Fever,-179,86,Phoenix Mercury,143,85
3,2009-10-02,Phoenix Mercury,-204,84,Indiana Fever,170,93
4,2009-09-30,Phoenix Mercury,-244,120,Indiana Fever,198,116
5,2009-09-27,Phoenix Mercury,0,85,Los Angeles Sparks,0,74
6,2009-09-27,Indiana Fever,0,72,Dallas Wings,0,67
7,2009-09-26,Phoenix Mercury,-200,76,Los Angeles Sparks,168,87
8,2009-09-26,Indiana Fever,-244,79,Dallas Wings,197,75
9,2009-09-24,Los Angeles Sparks,-156,94,Phoenix Mercury,129,103
10,2009-09-24,Dallas Wings,-149,72,Indiana Fever,124,56
11,2009-09-22,Phoenix Mercury,0,100,Las Vegas Aces,0,92
12,2009-09-20,Seattle Storm,125,64,Los Angeles Sparks,-154,75
13,2009-09-20,Phoenix Mercury,-435,106,Las Vegas Aces,324,78
14,2009-09-20,Indiana Fever,-400,81,Washington Mystics,309,74
15,2009-09-19,Seattle Storm,-152,75,Los Angeles Sparks,120,74
16,2009-09-19,Atlanta Dream,-278,79,Dallas Wings,216,94
17,2009-09-18,Las Vegas Aces,106,92,Phoenix Mercury,-128,91
18,2009-09-18,Washington Mystics,131,79,Indiana Fever,-159,88
19,2009-09-17,Los Angeles Sparks,-286,70,Seattle Storm,235,63
20,2009-09-17,Dallas Wings,-204,94,Atlanta Dream,166,89
21,2009-09-14,Sacramento Monarchs,-227,88,Minnesota Lynx,181,66
22,2009-09-13,New York Liberty,-238,86,Washington Mystics,189,65
23,2009-09-13,Phoenix Mercury,-213,78,Los Angeles Sparks,172,81
24,2009-09-13,Chicago Sky,-185,69,Dallas Wings,152,80
25,2009-09-13,Las Vegas Aces,-323,55,Seattle Storm,256,64
26,2009-09-13,Washington Mystics,-333,82,Atlanta Dream,264,64
27,2009-09-12,Los Angeles Sparks,-294,90,Minnesota Lynx,227,61
28,2009-09-12,Atlanta Dream,-222,88,Connecticut Sun,187,64
29,2009-09-11,Sacramento Monarchs,125,71,Las Vegas Aces,-149,80
30,2009-09-11,Seattle Storm,273,84,Phoenix Mercury,-345,92
31,2009-09-11,Chicago Sky,-115,86,Indiana Fever,-106,79
32,2009-09-11,Dallas Wings,-370,94,New York Liberty,283,87
33,2009-09-10,Minnesota Lynx,-118,75,Dallas Wings,-104,72
34,2009-09-09,Los Angeles Sparks,-278,76,Las Vegas Aces,225,68
35,2009-09-09,New York Liberty,0,63,Indiana Fever,0,69
36,2009-09-06,Dallas Wings,-278,84,Chicago Sky,218,75
37,2009-09-06,Indiana Fever,-270,72,Washington Mystics,216,61
38,2009-09-06,Phoenix Mercury,-294,100,Atlanta Dream,237,82
39,2009-09-06,Las Vegas Aces,-125,89,Los Angeles Sparks,102,72
40,2009-09-06,Minnesota Lynx,-135,76,Seattle Storm,110,68
41,2009-09-05,Sacramento Monarchs,-103,90,Atlanta Dream,-119,98
42,2009-09-05,Chicago Sky,-200,92,Washington Mystics,165,86
43,2009-09-05,Dallas Wings,-133,70,Indiana Fever,110,63
44,2009-09-05,Connecticut Sun,-222,88,New York Liberty,181,85
45,2009-09-04,Washington Mystics,-137,78,Seattle Storm,114,67
46,2009-09-03,Indiana Fever,-182,90,Phoenix Mercury,152,106
47,2009-09-02,Los Angeles Sparks,-222,79,Atlanta Dream,184,84
48,2009-09-02,Sacramento Monarchs,-105,90,Connecticut Sun,-115,70
49,2009-09-02,Las Vegas Aces,-222,84,Minnesota Lynx,177,82
50,2009-09-02,Dallas Wings,-127,101,Phoenix Mercury,104,99
51,2009-09-02,New York Liberty,-127,58,Seattle Storm,104,65
52,2009-08-31,Los Angeles Sparks,-152,91,Connecticut Sun,127,81
53,2009-08-30,New York Liberty,-200,77,Chicago Sky,167,63
