Date,Home/Neutral,PTS,PTS.1,Unnamed: 5,Visitor/Neutral,link,no_box
"Sat, Jun 21, 1997",Cleveland Rockers,76,56,Box Score,Houston Comets,/wnba/boxscores/199706210CLE.html,
"Sat, Jun 21, 1997",Los Angeles Sparks,67,57,Box Score,New York Liberty,/wnba/boxscores/199706210LAS.html,
"Sat, Jun 21, 1997",Utah Starzz,73,61,Box Score,Sacramento Monarchs,/wnba/boxscores/199706210UTA.html,
"Sun, Jun 22, 1997",Phoenix Mercury,59,76,Box Score,Charlotte Sting,/wnba/boxscores/199706220PHO.html,
"Mon, Jun 23, 1997",Sacramento Monarchs,73,62,Box Score,New York Liberty,/wnba/boxscores/199706230SAC.html,
"Mon, Jun 23, 1997",Utah Starzz,89,102,Box Score,Los Angeles Sparks,/wnba/boxscores/199706230UTA.html,
"Tue, Jun 24, 1997",Houston Comets,55,72,Box Score,Phoenix Mercury,/wnba/boxscores/199706240HOU.html,
"Wed, Jun 25, 1997",Los Angeles Sparks,54,74,Box Score,Charlotte Sting,/wnba/boxscores/199706250LAS.html,
"Thu, Jun 26, 1997",Cleveland Rockers,63,74,Box Score,Utah Starzz,/wnba/boxscores/199706260CLE.html,
"Thu, Jun 26, 1997",Houston Comets,62,60,Box Score,New York Liberty,/wnba/boxscores/199706260HOU.html,
"Thu, Jun 26, 1997",Sacramento Monarchs,70,78,Box Score,Charlotte Sting,/wnba/boxscores/199706260SAC.html,
"Fri, Jun 27, 1997",Los Angeles Sparks,92,102,Box Score,Sacramento Monarchs,/wnba/boxscores/199706270LAS.html,
"Sat, Jun 28, 1997",Cleveland Rockers,68,63,Box Score,Phoenix Mercury,/wnba/boxscores/199706280CLE.html,
"Sat, Jun 28, 1997",Utah Starzz,76,58,Box Score,Houston Comets,/wnba/boxscores/199706280UTA.html,
"Sun, Jun 29, 1997",Charlotte Sting,44,67,Box Score,Cleveland Rockers,/wnba/boxscores/199706290CHA.html,
"Sun, Jun 29, 1997",New York Liberty,57,65,Box Score,Phoenix Mercury,/wnba/boxscores/199706290NYL.html,
"Mon, Jun 30, 1997",Houston Comets,66,71,Box Score,Los Angeles Sparks,/wnba/boxscores/199706300HOU.html,
"Wed, Jul 2, 1997",New York Liberty,67,72,Box Score,Houston Comets,/wnba/boxscores/199707020NYL.html,
"Wed, Jul 2, 1997",Sacramento Monarchs,73,68,Box Score,Utah Starzz,/wnba/boxscores/199707020SAC.html,
"Thu, Jul 3, 1997",Cleveland Rockers,74,62,Box Score,Los Angeles Sparks,/wnba/boxscores/199707030CLE.html,
"Thu, Jul 3, 1997",Utah Starzz,77,55,Box Score,Phoenix Mercury,/wnba/boxscores/199707030UTA.html,1.0
"Fri, Jul 4, 1997",Houston Comets,65,58,Box Score,New York Liberty,/wnba/boxscores/199707040HOU.html,1.0
"Sat, Jul 5, 1997",Charlotte Sting,66,78,Box Score,Los Angeles Sparks,/wnba/boxscores/199707050CHA.html,1.0
"Sat, Jul 5, 1997",Utah Starzz,66,53,Box Score,New York Liberty,/wnba/boxscores/199707050UTA.html,1.0
"Sun, Jul 6, 1997",Sacramento Monarchs,67,70,Box Score,Cleveland Rockers,/wnba/boxscores/199707060SAC.html,1.0
"Mon, Jul 7, 1997",Houston Comets,56,74,Box Score,Charlotte Sting,/wnba/boxscores/199707070HOU.html,1.0
"Mon, Jul 7, 1997",Los Angeles Sparks,81,70,Box Score,Cleveland Rockers,/wnba/boxscores/199707070LAS.html,1.0
"Mon, Jul 7, 1997",Phoenix Mercury,50,69,Box Score,New York Liberty,/wnba/boxscores/199707070PHO.html,1.0
"Mon, Jul 7, 1997",Utah Starzz,79,69,Box Score,Sacramento Monarchs,/wnba/boxscores/199707070UTA.html,1.0
"Wed, Jul 9, 1997",Charlotte Sting,69,87,Box Score,New York Liberty,/wnba/boxscores/199707090CHA.html,1.0
"Wed, Jul 9, 1997",Phoenix Mercury,64,69,Box Score,Houston Comets,/wnba/boxscores/199707090PHO.html,
"Thu, Jul 10, 1997",Cleveland Rockers,61,77,Box Score,Sacramento Monarchs,/wnba/boxscores/199707100CLE.html,
"Thu, Jul 10, 1997",New York Liberty,48,62,Box Score,Charlotte Sting,/wnba/boxscores/199707100NYL.html,
"Fri, Jul 11, 1997",Los Angeles Sparks,68,75,Box Score,Utah Starzz,/wnba/boxscores/199707110LAS.html,
"Sat, Jul 12, 1997",Charlotte Sting,43,72,Box Score,Cleveland Rockers,/wnba/boxscores/199707120CHA.html,
"Sat, Jul 12, 1997",Houston Comets,61,89,Box Score,Sacramento Monarchs,/wnba/boxscores/199707120HOU.html,
"Sat, Jul 12, 1997",Utah Starzz,51,52,Box Score,Phoenix Mercury,/wnba/boxscores/199707120UTA.html,
"Sun, Jul 13, 1997",Los Angeles Sparks,57,56,Box Score,Phoenix Mercury,/wnba/boxscores/199707130LAS.html,
"Mon, Jul 14, 1997",Cleveland Rockers,68,57,Box Score,New York Liberty,/wnba/boxscores/199707140CLE.html,
"Mon, Jul 14, 1997",Houston Comets,56,79,Box Score,Utah Starzz,/wnba/boxscores/199707140HOU.html,
"Tue, Jul 15, 1997",New York Liberty,59,76,Box Score,Cleveland Rockers,/wnba/boxscores/199707150NYL.html,
"Tue, Jul 15, 1997",Sacramento Monarchs,73,78,Box Score,Los Angeles Sparks,/wnba/boxscores/199707150SAC.html,
"Wed, Jul 16, 1997",Charlotte Sting,63,75,Box Score,Utah Starzz,/wnba/boxscores/199707160CHA.html,
"Wed, Jul 16, 1997",Los Angeles Sparks,52,77,Box Score,Houston Comets,/wnba/boxscores/199707160LAS.html,
"Wed, Jul 16, 1997",Phoenix Mercury,67,84,Box Score,Sacramento Monarchs,/wnba/boxscores/199707160PHO.html,
"Thu, Jul 17, 1997",Cleveland Rockers,47,65,Box Score,Charlotte Sting,/wnba/boxscores/199707170CLE.html,
"Thu, Jul 17, 1997",New York Liberty,54,80,Box Score,Utah Starzz,/wnba/boxscores/199707170NYL.html,
"Fri, Jul 18, 1997",Sacramento Monarchs,82,60,Box Score,Houston Comets,/wnba/boxscores/199707180SAC.html,
"Sat, Jul 19, 1997",Cleveland Rockers,68,95,Box Score,Utah Starzz,/wnba/boxscores/199707190CLE.html,
"Sat, Jul 19, 1997",New York Liberty,57,69,Box Score,Los Angeles Sparks,/wnba/boxscores/199707190NYL.html,
"Mon, Jul 21, 1997",Charlotte Sting,64,75,Box Score,Los Angeles Sparks,/wnba/boxscores/199707210CHA.html,
"Mon, Jul 21, 1997",Sacramento Monarchs,70,57,Box Score,Phoenix Mercury,/wnba/boxscores/199707210SAC.html,
"Tue, Jul 22, 1997",New York Liberty,78,71,Box Score,Utah Starzz,/wnba/boxscores/199707220NYL.html,
"Tue, Jul 22, 1997",Phoenix Mercury,77,69,Box Score,Houston Comets,/wnba/boxscores/199707220PHO.html,
"Wed, Jul 23, 1997",Charlotte Sting,65,63,Box Score,New York Liberty,/wnba/boxscores/199707230CHA.html,
"Wed, Jul 23, 1997",Los Angeles Sparks,89,85,Box Score,Cleveland Rockers,/wnba/boxscores/199707230LAS.html,
"Fri, Jul 25, 1997",Phoenix Mercury,86,83,Box Score,Los Angeles Sparks,/wnba/boxscores/199707250PHO.html,
"Fri, Jul 25, 1997",Sacramento Monarchs,86,76,Box Score,Houston Comets,/wnba/boxscores/199707250SAC.html,
"Sat, Jul 26, 1997",New York Liberty,64,61,Box Score,Charlotte Sting,/wnba/boxscores/199707260NYL.html,
"Sat, Jul 26, 1997",Utah Starzz,77,66,Box Score,Cleveland Rockers,/wnba/boxscores/199707260UTA.html,
